GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
95NN09S2,1298,123,65,58,1040,88,744,124,108,296,216,2,56,26,7,20,3,150,24,51,75,135,33,53,2,16,31
95NN10S1,1425,267,150,117,1046,132,685,158,104,269,154,0,37,22,0,12,3,192,58,58,76,112,20,15,0,9,68
95NN10S2,1686,139,58,81,1422,106,1008,150,142,531,185,0,100,34,24,42,0,208,53,103,52,125,26,41,0,4,54
95NN11S1,1784,119,52,67,1523,58,1048,148,173,491,236,0,156,60,45,48,3,261,90,82,89,142,17,51,0,9,65
95NN11S2,2092,108,59,49,1793,66,1446,144,228,756,318,0,95,24,29,31,11,186,50,68,68,191,55,82,0,13,41
95NN12W1,2851,330,114,216,2290,156,1537,252,223,762,300,0,191,72,27,89,3,406,128,157,121,231,73,38,0,9,111
95NN13W1,3012,197,117,80,2560,168,2031,316,294,997,424,0,126,42,31,35,18,235,47,62,126,255,61,109,0,10,75
95NN14S1,1781,175,68,107,1453,92,939,116,156,458,209,0,123,30,34,53,6,299,59,141,99,153,48,43,0,8,54
95NN14S2,1561,116,48,68,1300,52,929,146,160,496,127,0,108,18,34,47,9,211,48,112,51,145,38,45,0,0,62
95NN15W1,2944,393,169,224,2278,166,1299,244,281,523,251,6,348,100,78,141,29,459,125,191,143,273,82,92,0,11,88
95NN16S1,1545,101,56,45,1287,108,1000,156,159,492,193,2,51,26,7,18,0,126,15,48,63,157,21,91,0,10,35
95NN16S2,1693,100,56,44,1437,102,1082,150,223,480,229,0,64,28,12,17,7,189,35,77,77,156,46,66,0,6,38
95NN17W1,2252,299,119,180,1726,134,994,162,135,404,293,0,159,46,26,75,12,439,140,209,90,227,71,48,0,11,97
95NN18S1,1179,204,66,138,813,70,444,90,59,165,130,0,69,30,19,20,0,230,43,88,99,162,31,30,0,5,96
95NN18S2,1439,91,44,47,1245,90,908,104,182,419,203,0,53,10,8,35,0,194,37,103,54,103,38,24,0,6,35
95NN19S1,1695,196,104,92,1411,82,984,152,203,451,178,0,127,60,22,42,3,218,49,67,102,88,6,40,0,6,36
95NN19S2,1686,135,54,81,1459,152,1053,194,248,418,193,0,92,40,28,12,12,162,56,46,60,92,23,18,0,6,45
95NN20W1,2980,248,127,121,2409,142,1886,264,292,920,410,0,97,36,26,26,9,284,81,78,125,323,84,77,0,17,145
95NN21W1,2680,404,202,202,1995,212,1266,220,214,584,248,2,151,48,36,50,17,364,109,128,127,281,91,74,0,19,97
95NN22W1,2685,249,120,129,2178,166,1597,192,259,756,390,2,129,58,36,35,0,284,62,97,125,258,70,80,0,17,91
